MONETARY ASSETS/LIABILITIES,NET FOREIGN ASSETS,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on nonresidents,Liabilities to nonresidents,NET DOMESTIC ASSETS,DOMESTIC CLAIMS,NET CLAIMS ON GOVERNMENT,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on central government,Liabilities to central government,CLAIMS ON OTHER SECTORS,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on other financial corporations/1,Central Bank, Of which: AMCON Bond ,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on state and local government,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on public nonfinancial corporations,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on private sector,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,BROAD MONEY LIABILITIES,Currency outside depository corporations,   Currency  in  Circulation,   Vault  cash: Commercial & Merchant Banks,   Vault cash:  Non-Interest Banks,   Vault cash:  Primary Mortgage Banks,   Vault cash:  Micro-Finance Banks,Transferable deposits,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Other deposits,Central Bank,Of Which: Foreign Currency Deposit ,Commercial & Merchant Banks,Of Which: Foreign Currency Deposit ,Non-Interest Banks,Of Which: Foreign Currency Deposit ,Primary Mortgage Banks,Of Which: Foreign Currency Deposit ,Micro-Finance Banks,Of Which: Foreign Currency Deposit ,Securities other than shares,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,DEPOSITS EXCLUDED FROM BROAD MONEY,SECURITIES OTHER THAN SHARES EXCLUDED FROM BROAD MONEY,LOANS,FINANCIAL DERIVATIVES,INSURANCE TECHNICAL RESERVES,SHARES AND OTHER EQUITY,OTHER ITEMS (NET)
Dec-07,7339740.25,,,,,,7603619.65,-263879.41,-650374.38,3749307.77,-1801303.35,,,,,,2611779.11,-4413082.45,5550611.12,,,,,,621540.61,,,,,,,87753.60,,,,,,57071.08,,,,,,4784245.83,,,,,,6689365.87,732947.28,,,,,,2455975.41,,,,,,2686840.93,,,,,,,,,,,813602.25,,,,,,820506.21,126019.74,0.00,0.00,0.00,2274724.69,1178431.51
Jan-08,7619839.07,,,,,,7788049.53,-168210.46,-246316.44,3948208.25,-2191057.75,,,,,,1717404.86,-3908462.60,6139265.99,,,,,,845358.69,,,,,,,104540.38,,,,,,36065.35,,,,,,5153301.57,,,,,,7373522.64,669462.65,,,,,,2824849.15,,,,,,3038556.53,,,,,,,,,,,840654.31,,,,,,835550.39,127439.55,0.00,0.00,0.00,2075673.29,1155861.45
Feb-08,7894500.70,,,,,,8057393.21,-162892.51,-89761.45,3973641.11,-2835707.32,,,,,,1406683.22,-4242390.54,6809348.43,,,,,,1136009.72,,,,,,,94935.78,,,,,,138589.99,,,,,,5439812.93,,,,,,7804739.25,689021.58,,,,,,3180894.75,,,,,,3230002.37,,,,,,,,,,,704820.54,,,,,,740581.76,137176.39,0.00,0.00,0.00,2161848.69,1023795.71
Mar-08,8097330.68,,,,,,8302678.43,-205347.75,687746.44,3997441.56,-2919709.35,,,,,,1346983.34,-4266692.70,6917150.91,,,,,,1013415.65,,,,,,,101999.68,,,,,,27234.54,,,,,,5774501.05,,,,,,8785077.12,664269.34,,,,,,4038466.81,,,,,,3423178.36,,,,,,,,,,,659162.61,,,,,,668007.88,119265.84,0.00,0.00,0.00,2429521.04,92900.37
Apr-08,8219611.76,,,,,,8463076.63,-243464.87,304465.27,4277601.53,-3330218.83,,,,,,1301188.32,-4631407.14,7607820.36,,,,,,1205527.90,,,,,,,82508.69,,,,,,30403.03,,,,,,6289380.74,,,,,,8524077.03,673955.11,,,,,,3591853.23,,,,,,3680221.95,,,,,,,,,,,578046.74,,,,,,712498.13,133123.41,0.00,0.00,0.00,2460427.40,667087.33
May-08,8216580.13,,,,,,8473076.50,-256496.36,104958.12,4402703.97,-3288622.96,,,,,,1312299.07,-4600922.03,7691326.93,,,,,,982959.17,,,,,,,109331.70,,,,,,32606.96,,,,,,6566429.09,,,,,,8321538.25,660155.25,,,,,,3499270.68,,,,,,3534666.52,,,,,,,,,,,627445.80,,,,,,676705.59,133008.94,0.00,0.00,0.00,2730033.54,757997.79
Jun-08,8325742.98,,,,,,8760275.14,-434532.16,544350.31,5040660.98,-2723829.30,,,,,,1428562.05,-4152391.34,7764490.27,,,,,,1114679.24,,,,,,,99399.91,,,,,,38503.29,,,,,,6511907.83,,,,,,8870093.29,673055.41,,,,,,3853327.49,,,,,,3605803.70,,,,,,,,,,,737906.68,,,,,,888133.42,173922.19,0.00,0.00,0.00,3091742.55,342512.51
Jul-08,8111101.85,,,,,,8371787.03,-260685.19,757819.59,5648259.35,-2788964.52,,,,,,1350002.94,-4138967.45,8437223.87,,,,,,1056308.08,,,,,,,127555.15,,,,,,44180.64,,,,,,7209180.00,,,,,,8868921.44,705084.41,,,,,,3606678.73,,,,,,3889613.82,,,,,,,,,,,667544.48,,,,,,958977.26,136927.38,0.00,0.00,0.00,3107140.34,687394.78
Aug-08,8490939.71,,,,,,8820644.07,-329704.36,503700.15,5062191.00,-3357419.02,,,,,,1401856.87,-4759275.89,8419610.02,,,,,,1136997.58,,,,,,,99602.50,,,,,,32123.38,,,,,,7150886.56,,,,,,8994639.86,727003.65,,,,,,3645213.51,,,,,,4015670.62,,,,,,,,,,,606752.09,,,,,,938315.24,128774.82,0.00,0.00,0.00,3199754.54,291646.26
Sep-08,8628352.21,,,,,,8951358.85,-323006.64,840313.39,5097620.03,-3429809.56,,,,,,1435346.93,-4865156.48,8527429.59,,,,,,1288300.07,,,,,,,96140.29,,,,,,31781.90,,,,,,7111207.32,,,,,,9468665.59,757221.45,,,,,,3885452.50,,,,,,4328401.97,,,,,,,,,,,497589.68,,,,,,938184.15,128614.07,0.00,0.00,0.00,3243297.49,-52789.07
