month,Securities Central Government NC,Loans Central Government NC
Dec-07,1108250.32,13135.14
Jan-08,114257.54,11406.71
Feb-08,105349.02,15767.03
Mar-08,74125.84,15817.27
Apr-08,52107.17,15398.45
May-08,81777.20,16492.03
Jun-08,50026.63,47839.86
Jul-08,65725.80,18501.97
Aug-08,84824.02,25532.46
Sep-08,103043.98,23070.86
Oct-08,112877.42,24053.45
Nov-08,117986.51,27163.46
Dec-08,636973.82,80686.77
Jan-09,370967.11,113829.91
Feb-09,218617.06,24145.30
Mar-09,401266.13,22178.30
Apr-09,544185.18,81935.24
May-09,490444.87,21988.88
Jun-09,463886.07,94894.36
Jul-09,463365.39,209020.51
Aug-09,378043.22,23080.57
Sep-09,296988.23,58702.87
Oct-09,219911.94,9073.27
Nov-09,161452.20,102622.89
Dec-09,255681.81,151024.60
Jan-10,132573.27,77380.38
Feb-10,148961.25,111033.11
Mar-10,129838.73,140287.90
Apr-10,123855.80,52885.33
May-10,126465.73,6074.56
Jun-10,116700.33,140501.85
Jul-10,179961.91,67345.61
Aug-10,479145.05,13599.87
Sep-10,407024.24,5233.13
Oct-10,482483.70,50482.67
Nov-10,605968.73,167185.28
Dec-10,604712.17,87835.29
Jan-11,516177.69,163877.80
Feb-11,542087.89,150106.85
Mar-11,518919.27,147144.86
Apr-11,498534.18,112739.42
May-11,378150.50,191659.93
Jun-11,560055.48,236630.49
Jul-11,548486.88,132093.74
Aug-11,701991.47,66478.80
Sep-11,645970.65,185497.21
Oct-11,691775.11,206027.08
Nov-11,463234.72,327071.91
Dec-11,415242.96,261985.35
Jan-12,572534.04,72150.95
Feb-12,584359.19,264661.89
Mar-12,636519.43,54875.63
Apr-12,551303.55,121853.72
May-12,458870.14,37056.06
Jun-12,630703.77,91274.74
Jul-12,720844.51,29927.11
Aug-12,517047.47,38712.62
Sep-12,471610.63,30788.41
Oct-12,458634.05,146215.80
Nov-12,486799.03,164878.09
Dec-12,563163.74,162687.02
Jan-13,474277.46,60696.77
Feb-13,374305.89,296458.13
Mar-13,376858.73,28169.07
Apr-13,371260.59,156200.11
May-13,371130.93,137564.47
Jun-13,368730.72,27871.81
Jul-13,357569.27,30149.70
Aug-13,376463.18,30205.84
Sep-13,390175.55,129979.89
Oct-13,468720.04,129180.98
Nov-13,430150.59,139478.89
Dec-13,403749.12,268444.52
Jan-14,341587.38,1263653.80
Feb-14,342990.19,1103243.42
Mar-14,234578.02,1289431.63
Apr-14,317142.98,1343663.93
May-14,330925.05,1196825.47
Jun-14,292657.72,200143.81
Jul-14,288222.26,200091.38
Aug-14,298302.56,245678.89
Sep-14,279694.29,271598.20
Oct-14,281870.16,349747.05
Nov-14,270736.22,442438.64
Dec-14,280692.04,592018.45
Jan-15,282163.27,554287.43
Feb-15,314710.54,514546.57
Mar-15,566601.05,595974.87
Apr-15,703300.12,756718.25
May-15,614161.79,832100.74
Jun-15,830192.56,674342.51
Jul-15,827966.69,932190.00
Aug-15,802599.38,811750.43
Sep-15,734821.12,965693.28
Oct-15,727093.03,1206632.83
Nov-15,639940.62,1567556.15
Dec-15,800227.31,1895364.24
Jan-16,906605.60,1864997.77
Feb-16,925911.24,1608835.41
Mar-16,1754913.48,1263296.95
Apr-16,1654022.87,2009292.19
May-16,1847693.03,1540962.25
Jun-16,1839779.63,1626253.31
Jul-16,1831292.16,1774250.31
Aug-16,1787334.13,1927066.49
Sep-16,1777401.97,1979582.28
Oct-16,1812883.81,2329515.84
Nov-16,1834369.42,2291755.71
Dec-16,2026055.23,2869491.67
Jan-17,2002248.12,2351378.12
Feb-17,1929630.32,2819533.14
Mar-17,1920997.45,3312645.94
Apr-17,2030014.55,4013860.52
May-17,1996656.55,3024238.94
Jun-17,1911093.78,3085454.06
Jul-17,1872017.88,3654063.53
Aug-17,1860059.24,3457497.11
Sep-17,1846909.34,3567352.66
Oct-17,1776837.14,3639241.86
Nov-17,1769452.17,3620726.03
Dec-17,1942720.85,3638876.99
Jan-18,1942620.06,3940750.61
Feb-18,1941029.41,4474618.46
Mar-18,1927352.28,5075215.33
Apr-18,1910422.96,5562454.91
May-18,1857358.69,4067915.24
Jun-18,1725478.08,4190495.94
Jul-18,1712754.18,4394279.76
Aug-18,1698576.70,4485713.12
Sep-18,1674991.11,4894886.14
Oct-18,1675968.30,5294915.18
Nov-18,1671488.65,6010003.41
Dec-18,1958195.88,5913940.84
Jan-19,2007774.41,6252939.59
Feb-19,1944382.45,6891702.35
Mar-19,1918674.24,7211711.00
Apr-19,1927631.24,7906982.77
May-19,1919476.71,7513381.55
Jun-19,1874932.51,7554433.13
Jul-19,1869656.49,8399266.68
Aug-19,1737358.09,8652555.77
Sep-19,1734708.47,9652521.86
Oct-19,1724242.81,8863752.54
Nov-19,1716174.50,9142784.97
Dec-19,2006549.03,9788668.49
Jan-20,1915330.42,10353416.87
Feb-20,1862705.95,10840621.27
Mar-20,1863823.72,10697381.71
Apr-20,1863057.37,11996070.18
May-20,1878842.15,11503098.64
Jun-20,1846235.63,11856718.05
Jul-20,1841098.12,12671453.53
Aug-20,1712024.28,13206071.52
Sep-20,1664429.29,13207811.59
Oct-20,1648988.47,13710274.63
Nov-20,1636481.67,13887954.46
Dec-20,1906404.56,13704643.67
Jan-21,1847024.59,14154636.69
Feb-21,1806700.41,14739654.67
Mar-21,1807183.32,16246908.66
Apr-21,1807229.63,16517988.53
May-21,1802270.29,16668536.11
Jun-21,1801521.16,16237820.79
Jul-21,1725287.09,16802362.19
Aug-21,1685024.39,17372241.11
Sep-21,1807965.18,18209726.70
Oct-21,1787854.01,18885251.97
Nov-21,1780005.28,18235134.34
Dec-21,1873357.78,17807708.84
Jan-22,1878106.23,18794823.46
Feb-22,1855135.63,19652285.83
Mar-22,1824038.08,20397802.84
Apr-22,1824090.28,21104947.20
May-22,1824283.23,21966713.37
Jun-22,1787483.34,22389495.50
Jul-22,2250452.79,23615638.24
Aug-22,2566418.69,24000832.27
Sep-22,2408770.71,25269333.46
Oct-22,2377444.53,25102191.04
Nov-22,2301000.59,24765779.56
Dec-22,2299508.45,23961803.24
Jan-23,2274654.95,24831239.40
Feb-23,2642433.78,25670895.36
Mar-23,2578068.39,27038007.82
Apr-23,2496266.08,28587569.29
May-23,2448745.96,29328135.75
Jun-23,24998701.33,8528703.57
Jul-23,24629953.31,5005061.57
Aug-23,24342299.25,5720086.24
Sep-23,24524972.55,6980962.16
Oct-23,24334387.21,8009267.15
Nov-23,24331922.27,10856492.03
Dec-23,24504158.43,18807874.07
Jan-24,24524290.99,13170976.81
Feb-24,24523114.84,13898946.01
Mar-24,24513567.79,12358250.55
Apr-24,24723329.40,12729545.11
May-24,24709222.94,11934938.45
Jun-24,27164220.74,6107700.13
