month,fxloans,commfxliab,commfxloans
Dec-07,20794.66,,
Jan-08,0.00,,
Feb-08,0.00,,
Mar-08,0.00,,
Apr-08,0.00,,
May-08,14945.23,,
Jun-08,213149.74,,
Jul-08,0.00,,
Aug-08,0.00,,
Sep-08,0.00,,
Oct-08,303643.70,,
Nov-08,181037.26,,
Dec-08,772.88,,
Jan-09,766.18,,
Feb-09,247084.99,,
Mar-09,25770.95,,
Apr-09,120425.58,,
May-09,84220.98,,
Jun-09,8307.99,,
Jul-09,20.41,,
Aug-09,20.85,,
Sep-09,0.00,,
Oct-09,278406.70,,
Nov-09,46.23,,
Dec-09,32.27,,
Jan-10,34.19,,
Feb-10,2215.70,,
Mar-10,52348.35,,
Apr-10,36.65,,
May-10,36.65,,
Jun-10,113388.25,,
Jul-10,36.65,,
Aug-10,8568.86,,
Sep-10,24.95,,
Oct-10,24.95,,
Nov-10,4.39,,
Dec-10,0.16,,
Jan-11,0.16,,
Feb-11,58535.11,,
Mar-11,45877.31,,
Apr-11,82957.96,,
May-11,169941.63,,
Jun-11,68136.27,,
Jul-11,12386.16,,
Aug-11,165172.40,,
Sep-11,0.16,,
Oct-11,0.16,,
Nov-11,68350.57,,
Dec-11,0.00,,
Jan-12,0.00,,
Feb-12,201.62,,
Mar-12,112863.47,,
Apr-12,0.00,,
May-12,0.00,,
Jun-12,0.00,,
Jul-12,0.00,,
Aug-12,144584.96,,
Sep-12,193358.62,,
Oct-12,0.00,,
Nov-12,0.00,,
Dec-12,0.00,,
Jan-13,0.00,,
Feb-13,2904.00,,
Mar-13,468646.18,,
Apr-13,0.00,,
May-13,185109.69,,
Jun-13,0.00,,
Jul-13,5152.89,,
Aug-13,0.00,,
Sep-13,0.15,,
Oct-13,43919.25,,
Nov-13,78220.14,,
Dec-13,4757.82,,
Jan-14,1001826.97,,
Feb-14,1342840.29,,
Mar-14,1034424.18,,
Apr-14,1008723.79,,
May-14,1027587.43,,
Jun-14,380353.43,,
Jul-14,106971.11,,
Aug-14,41.84,,
Sep-14,0.00,,
Oct-14,330.11,,
Nov-14,22101.27,,
Dec-14,0.00,,
Jan-15,0.00,,
Feb-15,180211.08,,
Mar-15,92814.56,,
Apr-15,25539.70,,
May-15,11582.94,,
Jun-15,1850694.82,,
Jul-15,232421.25,,
Aug-15,272153.40,,
Sep-15,333754.63,,
Oct-15,506221.35,,
Nov-15,98862.97,,
Dec-15,39482.63,,
Jan-16,105802.40,,
Feb-16,97655.02,,
Mar-16,293014.61,,
Apr-16,736603.46,,
May-16,317449.13,,
Jun-16,1181301.34,,
Jul-16,1354622.17,,
Aug-16,896126.65,,
Sep-16,420395.16,,
Oct-16,659252.11,,
Nov-16,671730.54,,
Dec-16,457599.35,,
Jan-17,586440.33,,
Feb-17,985601.67,,
Mar-17,1613013.18,,
Apr-17,2078523.80,,
May-17,1046893.22,,
Jun-17,1070645.97,,
Jul-17,1440836.30,,
Aug-17,1328994.56,,
Sep-17,1831519.09,,
Oct-17,2175757.41,,
Nov-17,723376.91,,
Dec-17,849441.74,,
Jan-18,801917.62,,
Feb-18,2974335.67,,
Mar-18,3154399.92,,
Apr-18,2358338.42,,
May-18,840790.62,,
Jun-18,1064340.63,,
Jul-18,1336882.65,,
Aug-18,1817629.26,,
Sep-18,1192209.06,,
Oct-18,1000882.09,,
Nov-18,958680.74,,
Dec-18,1803815.00,5045909.03,4444636.58
Jan-19,1587707.82,5500951.87,4494469.00
Feb-19,2264009.00,5281100.51,4438737.70
Mar-19,1845260.78,5456736.08,4335877.50
Apr-19,2019805.84,5755884.31,4041612.88
May-19,900545.01,5720816.62,4427355.22
Jun-19,911239.82,5857487.72,4466230.10
Jul-19,1588282.27,5884648.97,4599362.46
Aug-19,1765087.54,5632739.56,4646028.80
Sep-19,2563659.27,5700881.65,4580799.95
Oct-19,1237680.45,6295685.96,4708419.25
Nov-19,1697778.30,6200858.98,4908148.81
Dec-19,1266294.54,5737546.62,4996403.46
Jan-20,429917.84,6170586.14,4940147.37
Feb-20,787013.15,6215769.97,5012826.72
Mar-20,370995.60,6433385.59,5329796.55
Apr-20,955429.73,6444535.14,5368702.40
May-20,238523.73,6338141.91,5295638.72
Jun-20,950835.11,6061586.02,5474137.54
Jul-20,1266548.90,6015691.77,5257041.31
Aug-20,736064.66,6184807.08,5226794.01
Sep-20,77061.24,5956292.08,5230913.79
Oct-20,253791.57,6097287.37,5462828.11
Nov-20,279267.16,6239580.93,5526576.19
Dec-20,26700.36,6236524.34,5678829.36
Jan-21,239147.98,6384907.30,5405100.85
Feb-21,625593.05,6516127.22,5665208.14
Mar-21,990399.57,6566987.56,5313977.02
Apr-21,876825.47,6623350.41,4880944.49
May-21,550540.59,6645920.88,4834743.98
Jun-21,263671.94,6991567.11,4900783.07
Jul-21,484400.05,7112283.71,4760506.04
Aug-21,946764.12,7288993.39,5365004.02
Sep-21,2930153.26,7214622.51,5054462.02
Oct-21,1819397.68,7808126.95,5005709.16
Nov-21,945429.02,7973609.81,5529383.20
Dec-21,95229.59,8520715.71,4865177.73
Jan-22,456216.52,8429848.69,5433670.45
Feb-22,1657292.79,8538098.89,5417117.80
Mar-22,1681944.62,8532590.89,5530688.56
Apr-22,1753532.93,8961004.17,5687058.29
May-22,2104188.71,9281137.86,5792629.11
Jun-22,2410465.52,9535400.88,6105058.70
Jul-22,3030280.79,9266128.23,6083322.15
Aug-22,1891604.12,9247039.60,6095300.13
Sep-22,2542356.04,9204000.50,6391316.70
Oct-22,1411959.33,9885760.97,6632863.01
Nov-22,1749056.83,9922710.68,6822730.87
Dec-22,4166781.66,10279769.53,6956141.61
Jan-23,4797163.28,10532058.55,7068829.14
Feb-23,5065608.45,9801371.96,7034280.04
Mar-23,5459386.95,10578935.11,7090434.67
Apr-23,5817563.56,10988188.94,7171877.07
May-23,6246650.84,10716219.17,7065510.51
Jun-23,10775442.25,17695292.42,10304306.48
Jul-23,7773703.94,17761485.20,11243652.12
Aug-23,7846972.67,17395897.73,11049076.59
Sep-23,9954146.41,17087516.01,10823676.95
Oct-23,9226723.39,20279186.31,13763334.19
Nov-23,9069963.23,18900869.54,11341844.17
Dec-23,17271925.12,20940374.52,12974635.70
Jan-24,11349114.69,34149575.21,22451700.96
Feb-24,13130610.74,36437564.77,21988098.65
Mar-24,17235237.64,31033401.83,15754268.63
Apr-24,18214818.26,33394461.73,20482336.92
May-24,16987004.56,35483997.48,21044516.64
Jun-24,12909363.09,33686853.19,18923946.66
