month,TIME AND SAVINGS DEPOSITS,FOREIGN CURRENCY DEPOSITS,   Domiciliary Accounts,   Federal Government Foreign Currency Deposit,   State Government Foreign Currency Deposit,   Local Government Foreign Currency Deposit,oldm2
12/01/01,499161.50,47198.40,47198.40,,,,
,543004.40,64193.50,64193.50,,,,
,570440.00,69915.80,69915.80,,,,
,587422.50,71984.90,71984.90,,,,
,586150.40,74541.00,74541.00,,,,
,587623.60,81996.10,81996.10,,,,
,629960.80,82982.80,82982.80,,,,
,628644.90,96434.50,96434.50,,,,
,643666.20,101504.00,101504.00,,,,
,671866.30,118838.80,118838.80,,,,
,688981.50,118339.30,118339.30,,,,
,682624.00,116310.40,116310.40,,,,
,653241.20,109037.00,109037.00,,,,
,693715.20,114176.50,114176.50,,,,
,702109.10,110325.30,110325.30,,,,
,797376.20,134524.80,134524.80,,,,
,808385.80,132901.40,132901.40,,,,
,793105.30,133600.90,133600.90,,,,
,804586.90,131488.70,131488.70,,,,
,821271.70,138488.90,138488.90,,,,
,786594.10,136454.00,136454.00,,,,
,717040.20,123371.80,123371.80,,,,
,781801.70,125746.10,125746.10,,,,
,765971.20,137668.90,137668.90,,,,
,759632.50,122587.20,122587.20,,,,
,796278.80,142714.30,142714.30,,,,
,874607.40,155610.70,155610.70,,,,
,904698.40,155164.00,155164.00,,,,
,911186.80,139023.90,139023.90,,,,
,918879.00,139716.40,139716.40,,,,
,898446.50,140655.00,140655.00,,,,
,896675.50,137712.00,137712.00,,,,
,898881.80,136405.00,136405.00,,,,
,893923.70,135989.40,135989.40,,,,
,941519.70,149863.70,149863.70,,,,
,944491.30,148912.90,148912.90,,,,
,932930.10,172538.30,172538.30,,,,
,976806.20,160205.20,160205.20,,,,
,1049140.90,172566.10,172566.10,,,,
,1098485.40,141583.40,141583.40,,,,
,1099096.20,171516.90,171516.90,,,,
,1123385.00,196923.70,196923.70,,,,
,1237064.40,223919.70,223919.70,,,,
,1288524.30,262652.90,262652.90,,,,
,1240921.10,246471.80,246471.80,,,,
,1215986.00,227669.90,227669.90,,,,
,1185284.30,217432.10,217432.10,,,,
,1184211.30,215436.90,215436.90,,,,
,1089450.28,188511.10,188511.10,,,,
,1246501.26,233922.29,233922.29,,,,2967139.50
,832887.13,168221.65,168221.65,,,,2227472.80
,1470197.42,283453.39,283453.39,,,,3307667.90
,1514629.82,304551.80,304551.80,,,,3540703.60
,1605832.33,313080.48,313080.48,,,,3684404.50
,1694889.99,377932.50,377932.50,,,,3911821.50
,1854701.01,387314.15,387314.15,,,,4109850.40
,1952472.65,409995.43,409995.43,,,,4189053.50
,1991679.21,427593.81,427593.81,,,,4320672.30
,2162328.78,613652.88,613652.88,,,,4730662.80
,2122317.42,621874.90,621874.90,,,,4557557.20
,1747252.76,302380.04,302380.04,,,,4027901.70
,1722915.58,335987.03,335987.03,,,,3900134.70
,1869146.81,361043.50,361043.50,,,,4122142.00
,2195884.94,386860.22,386860.22,,,,4798317.40
,2203453.88,375793.07,375793.07,,,,5052863.30
,2350533.08,412304.43,412304.43,,,,4909220.60
,2477185.73,485613.41,485613.41,,,,5116246.70
,2379653.64,439900.91,439900.91,,,,5130160.20
,2678221.49,492186.67,492186.67,,,,5550488.30
,2634014.52,517488.67,517488.67,,,,5672622.40
,2646354.61,538644.97,538644.97,,,,5585227.80
,2926455.06,562495.41,562495.41,,,,5881558.60
,2693554.34,474404.05,474404.05,,,,5809826.50
,3055565.38,497246.16,497246.16,,,,6527673.00
