year,month,cpi,food_cpi,core_cpi,nonfarm_cpi,imp_food_cpi
2009,Jan,90.2,89.5,92.6,91.1,
,Feb,90.8,90.2,92.6,91.7,
,Mar,91.4,90.9,93.1,92.0,
,Apr,91.9,91.6,94.1,92.5,
,May,93.6,93.5,95.4,94.2,
,June,95.3,95.6,96.6,95.3,
,July,97.3,97.9,98.4,96.8,
,Aug,98.4,98.9,97.7,97.3,
,Sep,98.9,99.5,98.5,98.1,
,Oct,99.4,99.9,99.1,98.9,
,Nov,100.0,100.0,100.0,100.0,100.0
,Dec,102.2,102.4,101.9,101.5,101.5
2010,Jan,103.1,103.7,102.6,102.1,101.7
,Feb,105.0,104.8,105.0,104.5,103.2
,Mar,104.9,105.3,104.6,104.1,103.0
,Apr,105.7,106.6,105.1,104.4,103.9
,May,105.7,105.7,106.5,105.2,104.9
,Jun,108.8,110.0,108.6,107.4,109.6
,Jul,109.9,111.6,108.8,107.7,109.3
,Aug,111.9,113.8,110.4,109.3,109.3
,Sep,112.4,114.0,111.7,110.7,113.6
,Oct,112.7,114.0,112.0,111.9,114.1
,Nov,112.8,114.4,111.3,111.7,115.1
,Dec,114.2,115.4,112.5,112.6,115.4
2011,Jan,115.6,114.3,113.0,114.5,96.0
,Feb,116.7,117.7,115.5,115.5,124.0
,Mar,118.3,118.1,117.5,117.5,119.4
,Apr,117.7,119.0,117.9,117.9,119.1
,May,118.7,118.5,119.0,118.9,120.6
,Jun,119.9,120.1,119.8,119.8,111.9
,Jul,120.3,120.4,119.9,120.1,112.6
,Aug,122.3,123.7,121.1,121.2,116.0
,Sep,124.0,124.8,122.7,123.5,117.6
,Oct,124.6,125.0,124.0,124.8,117.0
,Nov,124.7,125.4,123.5,124.6,124.2
,Dec,126.0,128.1,123.6,124.8,125.3
2012,Jan,130.2,129.3,129.2,129.1,121.6
,Feb,130.5,129.1,129.4,129.3,121.6
,Mar,132.6,132.1,134.5,135.1,129.9
,Apr,132.8,132.3,134.7,135.2,131.3
,May,133.8,133.9,136.3,136.7,132.5
,Jun,135.3,134.5,136.2,138.0,132.6
,Jul,135.7,135.0,136.5,138.1,132.9
,Aug,136.6,135.9,137.1,139.0,134.2
,Sep,138.0,137.5,137.7,139.7,134.2
,Oct,139.2,138.8,138.1,140.3,135.3
,Nov,140.0,139.8,138.7,140.9,136.2
,Dec,141.1,141.2,139.6,141.8,137.6
2013,Jan,141.9,142.3,140.3,143.8,138.7
,Feb,143.0,143.3,140.5,143.8,139.1
,Mar,144.0,144.6,142.9,144.8,139.3
,Apr,144.8,145.6,142.3,144.5,139.9
,May,145.8,146.4,141.9,145.2,140.1
,Jun,146.6,147.5,142.2,145.5,141.4
,Jul,147.4,148.4,145.1,147.2,142.4
,Aug,147.8,149.2,146.3,149.1,143.2
,Sep,148.9,150.4,147.8,150.0,144.3
,Oct,150.0,151.6,148.6,150.9,145.5
,Nov,151.1,152.9,149.5,151.8,146.3
,Dec,152.3,154.3,150.8,153.0,147.4
2014,Jan,153.3,155.5,150.7,153.3,148.4
,Feb,154.0,156.5,151.8,154.1,149.1
,Mar,155.2,158.0,152.5,154.7,150.3
,Apr,156.2,159.3,153.1,155.3,151.1
,May,157.4,160.6,154.0,156.3,152.4
,Jun,158.6,161.9,155.0,157.4,153.4
,Jul,159.7,163.1,155.4,157.7,154.0
,Aug,160.4,164.0,156.0,158.4,154.9
,Sep,161.3,165.0,157.1,159.4,156.0
,Oct,162.1,165.8,158.0,160.3,157.0
,Nov,163.1,166.8,158.9,161.3,158.0
,Dec,164.4,168.4,160.2,162.5,159.5
2015,Jan,165.8,169.8,161.4,163.7,160.8
,Feb,166.9,171.1,162.5,164.8,162.3
,Mar,168.4,172.8,163.9,166.2,163.6
,Apr,169.7,174.4,164.9,167.2,165.0
,May,171.6,176.3,166.7,169.2,166.9
,Jun,173.2,178.1,167.9,170.6,168.5
,Jul,174.4,179.5,168.9,171.6,170.0
,Aug,175.4,180.6,169.8,172.7,171.4
,Sep,176.5,181.8,170.8,173.7,172.8
,Oct,177.2,182.6,171.5,174.4,173.7
,Nov,178.4,184.1,172.4,175.3,175.1
,Dec,180.1,186.2,173.8,176.7,177.1
2016,Jan,181.7,187.9,175.2,178.2,178.9
,Feb,185.9,190.5,177.9,183.0,183.7
,Mar,189.9,194.9,180.8,186.4,188.4
,Apr,193.0,197.4,182.7,189.5,192.0
,May,198.3,202.5,187.3,194.7,197.9
,Jun,201.7,205.4,190.3,198.3,202.3
,Jul,204.2,207.9,192.0,200.7,204.7
,Aug,206.3,210.3,193.4,202.4,206.8
,Sep,208.0,212.0,195.0,204.3,208.7
,Oct,209.7,213.8,196.5,205.9,210.5
,Nov,211.3,215.7,198.1,207.3,212.3
,Dec,213.6,218.6,199.3,208.6,214.4
2017,Jan,215.7,221.4,200.6,210.0,216.4
