month,year,deficit,pribal,nomgdp,fgdp,pbalgdp
Dec-10,2010,-607540.41,-191918.71,55469350.31,-1.09527226593089,-0.345990549626541
Dec-11,2011,-816986.7,-289903.5,63713359.39,-1.28228476375759,-0.455012108532486
Dec-12,2012,-949230,-267414,72599629.97,-1.30748600284031,-0.368340720334943
Dec-13,2013,-1153490.2,-325388.2,81009964.62,-1.4238868088057,-0.401664414418979
Dec-14,2014,-835644,106026,90136984.65,-0.927082266206162,0.117627631331972
Dec-15,2015,-1557800,-497417,95177735.68,-1.63672731738078,-0.522619073070737
Dec-16,2016,-2140043.35444316,-755142.354443156,102575418.03,-2.08631209645326,-0.736182575623048
Dec-17,2017,-5101243.3414412,-3452991.3414412,114899249.90,-4.43975338914944,-3.00523401546575
Dec-18,2018,-3584739,-1423366,129086907.45,-2.77699657599867,-1.10264164514987
Dec-19,2019,-4915356,-2493964,145639139.38,-3.37502406355497,-1.71242703756143
Dec-20,2020,-6171796,-2906323,154252318.90,-4.00110419350319,-1.8841356945328
Dec-21,2021,-6910166,-2688513,176075501.87,-3.92454709867492,-1.52690917901246
Dec-22,2022,-9330372,-3673791,202365026.79,-4.61066427738983,-1.81542782284525
Dec-23,2023,-13501819,-4944885,234425913.90,-5.75952494985223,-2.10935937829192
