quarter,nom_gdp,real_gdp
Q1 2010,12790378.370741,12790378.370741
Q2 2010,13141504.9464443,13141504.9464443
Q3 2010,14516589.0834404,14516589.0834404
Q4 2010,15020877.9059522,15020877.9059522
Q1 2011,14686114.1443453,13621792.9617603
Q2 2011,15229799.0365547,13917309.4361422
Q3 2011,16368914.1058012,15007592.5733666
Q4 2011,17428532.1082833,15633656.923769
Q1 2012,16675099.4919543,14105661.7867885
Q2 2012,17968301.8189357,14504449.8614927
Q3 2012,18735304.0798191,15825996.7664769
Q4 2012,19220924.5814625,16233942.0493028
Q1 2013 ,18522185.0638793,14715329.7241092
Q2 2013 ,20149674.1827742,15262311.1011494
Q3 2013 ,20703824.609528,16646797.0187065
Q4 2013 ,21634280.7608446,17318407.7160538
Q1 2014 ,20381903.5434274,15601048.0497121
Q2 2014 ,21957446.0531277,16249366.9753943
Q3 2014 ,23232819.3888485,17707533.4199311
Q4 2014 ,24564815.6664172,18419510.7747124
Q1 2015 ,21242543.0736003,16203803.5581343
Q2 2015 ,23080911.1704398,16623053.8787886
Q3 2015 ,24627752.2793237,18208475.0889392
Q4 2015 ,26226529.1603614,18745360.1924861
Q1 2016,22435464.2918612,16087230.3179438
Q2 2016,23737297.493316,16349290.032606
Q3 2016,26871010.7565154,17775969.0306538
Q4 2016,29531645.4928978,18439940.9834864
Q1 2017 ,26228851.5219864,15919656.9934195
Q2 2017 ,27266394.9195405,16477424.3211859
Q3 2017 ,29756010.3441071,17988950.8110615
Q4 2017 ,31647993.1120834,18819658.9892989
Q1 2018,28682945.7422921,16234954.9520282
Q2 2018,30955297.1186786,16718625.2823194
Q3 2018,33781029.8424148,18305126.3989761
Q4 2018,35667634.7484486,19277641.9886985
Q1 2019 1,32086120.2093208,16569734.7327661
Q2 2019 1,35300954.8107805,17076100.7238531
Q3 2019 1,38222339.3933422,18697323.8230711
Q4 2019 1,40029724.9656867,19750934.7160518
Q1 2020 1,35969901.1776972,16893269.7942002
Q2 2020 1,34336897.6052891,16044513.7306425
Q3 2020 1,39714721.4102612,18109596.0177288
Q4 2020 1,44230798.7046577,19753163.9494412
Q1 2021 1,35969901.1776972,16962505.9244489
Q2 2021 1,39614838.2554699,16904236.4160603
Q3 2021 1,45850281.1320757,18845916.293
Q4 2021 1,50102696.9127347,20670112.7517271
Q1 2022 1,45902642.9309292,17573272.2183819
Q2 2022 1,45505285.4280199,17478222.6342383
Q3 2022 1,53176514.3544346,19294013.8107691
Q4 2022 1,57780584.0736474,21423436.6559322
Q1 2023 1,51947189.67,17994283.2586036
Q2 2023 1,52755884.35,17941050.8868066
Q3 2023 1,62054355.6749077,19889648.3597062
Q4 2023 1,67668484.2052726,22111117.5465332
Q1 2024 1,60276874.1074349,18497171.6752881
Q2 2024 1,62232719.7774609,18480670.8146622
Q3 2024 1,73755082.27,20510484.46
