tyear,tmonth,period,moneySupply_M3,cbnBills,moneySupply_M2,quasiMoney,narrowMoney,currencyOutsideBanks,demandDeposits,netForeignAssets,netDomesticAssets,netDomesticCredit,creditToGovernment,creditToGovernmentFed,mirrorAccounts,creditToPrivateSector,otherAssetsNet,baseMoney,currencyInCirculation,bankReserves,specialInterventionReserves
2024,11,November 2024,108966480.44,19796.18,108946684.26,72672756.90,36273927.36,4652527.74,31621399.62,17347112.78,91619367.66,115576757.67,39616629.91,0.00,0.00,75960127.77,12147461.96,30871571.25,4878125.22,25993446.02,278860.37
2024,10,October 2024,107999619.24,10797.22,107988822.02,73204528.58,34784293.44,4288141.20,30496152.24,20786785.89,87212833.35,113463677.29,39391214.35,0.00,0.00,74072462.95,13668236.43,30005705.16,4549217.51,25456487.65,278860.37
2024,9,September 2024,109411154.85,9409.49,109401745.36,73542912.31,35858833.05,4016510.71,31842322.34,19498793.94,89912360.91,115301488.41,39467247.32,0.00,0.00,75834241.09,12442393.55,28137041.63,4311072.27,23825969.35,278860.37
2024,8,August 2024,107192936.86,10717.37,107182219.49,72232284.01,34949935.48,3868610.90,31081324.58,25516266.66,81676670.20,105882488.57,31150799.28,0.00,0.00,74731689.28,13030099.14,26891229.28,4144842.39,22746386.89,278860.37
2024,7,July 2024,106358093.27,10717.37,106347375.90,71023282.48,35324093.42,3665891.91,31658201.51,32393100.04,73964993.22,95333872.43,19825050.41,0.00,0.00,75508822.02,10292331.59,25553347.14,4053763.93,21499583.21,278860.37
2024,6,June 2024,101461229.42,10711.80,101450517.62,64651773.24,36798744.38,3790570.28,33008174.10,23090881.89,78370347.53,97124532.77,23932584.88,0.00,0.00,73191947.89,10061307.41,25023190.29,4048729.81,20974460.48,278860.37
2024,5,May 2024,99235741.19,249384.70,98986356.49,65603723.61,33382632.88,3709945.42,29672687.46,15335784.44,83899956.74,102687866.09,28375743.25,0.00,0.00,74312122.83,5103989.50,25656624.96,3965101.26,21691523.70,433229.15
2024,4,April 2024,96974201.49,10677.52,96963523.96,63144533.15,33818990.81,3605057.39,30213933.42,28727559.85,68246641.63,92892085.56,19975143.66,0.00,0.00,72916941.90,9990300.22,24387924.33,3922947.87,20464976.46,433229.15
2024,3,March 2024,92343286.66,10666.45,92332620.21,59842712.03,32489908.18,3627522.07,28862386.11,35785309.22,56557977.44,90801041.35,19589769.97,0.00,0.00,71211271.38,9975496.63,23384818.66,3869330.26,19515488.40,433229.15
2024,2,February 2024,95557263.40,1588771.44,93968491.96,63691242.70,30277249.26,3411735.44,26865513.82,7408009.72,88149253.67,114788867.95,33925848.79,0.00,0.00,80863019.16,13319068.99,21230656.70,3693573.23,17537083.47,433229.15
2024,1,January 2024,94614600.44,842591.59,93772008.85,62216126.61,31555882.24,3281198.20,28274684.04,29739769.64,64874830.79,99997638.73,23518053.15,0.00,0.00,76479585.58,6732309.44,24164031.04,3650500.20,20513530.84,433229.15
2023,12,December 2023,79252459.19,421337.19,78831122.00,48708833.11,30122288.89,3433927.24,26688361.65,9338449.78,69914009.41,96086279.48,33547601.17,0.00,0.00,62538678.31,6091164.18,24735518.47,3653303.90,21082214.57,0.00
2023,11,November 2023,72025600.09,682641.58,71342958.51,45063273.79,26279684.73,3080140.65,23199544.08,11514676.03,60510924.06,85349397.00,25664280.91,0.00,0.00,59685116.08,4479720.51,22908392.34,3347716.33,19560676.02,0.00
2023,10,October 2023,73907037.03,1245804.25,72661232.78,46234282.22,26426950.56,2696981.44,23729969.13,28099657.30,45807379.74,72960640.30,9390923.05,0.00,0.00,63569717.25,9140584.25,21538820.56,3010346.55,18528474.01,419776.74
2023,9,September 2023,66944539.37,769616.21,66174923.16,40854906.22,25320016.94,2416033.51,22903983.43,12537895.82,54406643.55,81644797.92,22137450.47,0.00,0.00,59507347.45,10100221.41,19506555.34,2761291.98,16745263.35,419776.74
2023,8,August 2023,66191502.84,552524.16,65638978.68,41200375.50,24438603.19,2223690.38,22214912.80,13935019.44,52256483.40,79455252.89,22507192.00,0.00,0.00,56948060.89,10120457.70,19429603.25,2660138.92,16769464.34,385411.16
2023,7,July 2023,65329717.47,10599.73,65319117.73,40951100.03,24368017.71,2206635.60,22161382.11,10241047.37,55088187.62,84082353.94,27621170.06,0.00,0.00,56461183.87,10864333.26,17376486.41,2595761.69,14780724.72,385411.16
2023,6,June 2023,64906930.75,548713.55,64358217.20,39863291.17,24494926.03,2263065.09,22231860.95,11112802.79,53414463.97,84045544.14,31233079.30,0.00,0.00,52812464.85,10901306.61,17718915.65,2603266.82,15115648.83,399776.74
2023,5,May 2023,55692740.99,142342.97,55550398.02,33064996.53,22485401.49,2177314.37,20308087.11,4404133.68,50910749.89,75498300.31,30711430.13,0.00,0.00,44786870.17,12262582.03,17922716.51,2526679.63,15396036.88,397970.17
2023,4,April 2023,56046522.78,397178.14,55649344.64,33107075.68,22542268.96,2078211.57,20464057.39,5044475.45,50602383.34,74425692.40,30761091.82,0.00,0.00,43664600.58,12846557.39,17943103.23,2379074.15,15564029.09,419776.74
2023,3,March 2023,54628225.07,442358.32,54185866.75,32786272.84,21399593.91,1445249.67,19954344.24,5991802.89,48636422.18,70541342.84,27529660.60,0.00,0.00,43011682.24,11086962.62,15975739.59,1683498.35,14292241.24,419889.49
