month,credit_private,loans_ngn,loans_fx
Jan-07,2216734.48,,
Feb-07,2240579.65,,
Mar-07,2896219.34,,
Apr-07,3050129.74,,
May-07,3245185.01,,
Jun-07,3355836.81,,
Jul-07,3647464.22,,
Aug-07,3584364.34,,
Sep-07,3614264.61,,
Oct-07,4099470.26,,
Nov-07,4401220.39,,
Dec-07,4606562.00,,
Jan-08,4891633.71,,
Feb-08,5248684.13,,
Mar-08,5510927.12,,
Apr-08,6039870.77,,
May-08,6370391.17,,
Jun-08,6387338.73,,
Jul-08,6969306.81,,
Aug-08,6894588.78,,
Sep-08,7024882.47,,
Oct-08,7149327.81,,
Nov-08,6964326.01,,
Dec-08,7411425.82,,
Jan-09,7182819.23,,
Feb-09,7726149.93,,
Mar-09,7546104.38,,
Apr-09,7600734.36,,
May-09,7715852.44,,
Jun-09,7671545.00,,
Jul-09,8124111.41,,
Aug-09,7891120.73,,
Sep-09,8651600.12,,
Oct-09,8769261.73,,
Nov-09,8850949.80,,
Dec-09,8912143.04,,
Jan-10,8824927.35,,
Feb-10,7956142.88,,
Mar-10,8852807.77,,
Apr-10,8931073.20,,
May-10,8889595.48,,
Jun-10,8931271.78,,
Jul-10,8826844.86,,
Aug-10,9001243.20,,
Sep-10,9142634.33,,
Oct-10,9235718.68,,
Nov-10,9420915.85,,
Dec-10,7706430.43,,
Jan-11,7402139.50,,
Feb-11,7282104.48,,
Mar-11,7514990.48,,
Apr-11,7458655.96,,
May-11,7178199.22,,
Jun-11,7231288.26,,
Jul-11,7218644.09,,
Aug-11,7383036.70,,
Sep-11,7541108.37,,
Oct-11,7635809.05,,
Nov-11,7742527.81,,
Dec-11,7312726.00,,
Jan-12,7194616.50,,
Feb-12,6586056.06,,
Mar-12,7185844.36,,
Apr-12,7349601.11,,
May-12,7538388.01,,
Jun-12,7868267.96,,
Jul-12,7924131.46,,
Aug-12,7993600.08,,
Sep-12,7999451.70,,
Oct-12,8004189.59,,
Nov-12,8070217.62,,
Dec-12,8150030.27,,
Jan-13,8013085.19,,
Feb-13,8146444.00,,
Mar-13,8284409.47,,
Apr-13,8366142.51,,
May-13,8547087.07,,
Jun-13,8785083.34,,
Jul-13,8863840.48,,
Aug-13,9235689.99,,
Sep-13,9382719.40,,
Oct-13,9460760.80,,
Nov-13,9623819.60,,
Dec-13,10005594.30,,
Jan-14,9106413.83,,
Feb-14,10271751.11,,
Mar-14,10383474.66,,
Apr-14,10573203.78,,
May-14,10487518.03,,
Jun-14,10776956.40,,
Jul-14,11038109.96,,
Aug-14,11167585.72,,
Sep-14,11473763.27,,
Oct-14,11962493.94,,
Nov-14,12460409.01,,
Dec-14,12544618.03,,
Jan-15,13176562.44,,
Feb-15,13504246.33,,
Mar-15,13357101.71,,
Apr-15,13309241.91,,
May-15,13363841.51,,
Jun-15,13433425.55,,
Jul-15,13175922.48,,
Aug-15,11946957.13,,
Sep-15,13013881.07,,
Oct-15,13090734.62,,
Nov-15,13177012.79,,
Dec-15,13086204.91,,
Jan-16,12092370.04,,
Feb-16,13310547.58,,
Mar-16,13207598.46,,
Apr-16,13281157.10,,
May-16,13274628.72,,
Jun-16,15537453.74,,
Jul-16,16368219.95,,
Aug-16,16750758.66,,
Sep-16,16185103.23,,
Oct-16,16265308.51,,
Nov-16,16250826.71,,
Dec-16,16117285.50,,
Jan-17,15964496.78,,
Feb-17,15986588.43,,
Mar-17,16002486.76,,
Apr-17,15939033.89,,
May-17,15787691.39,,
Jun-17,15710570.72,,
Jul-17,15712033.27,,
Aug-17,15777685.98,,
Sep-17,15825298.91,,
Oct-17,15723450.28,,
Nov-17,15689737.78,,
Dec-17,15740594.42,,
Jan-18,15704032.45,,
Feb-18,15899569.76,,
Mar-18,15604783.55,,
Apr-18,15320848.51,,
May-18,15289469.61,,
Jun-18,15340933.92,,
Jul-18,15286802.23,,
Aug-18,15499473.75,,
Sep-18,15589954.77,,
Oct-18,15732403.99,,
Nov-18,15549142.99,,
Dec-18,15134202.86,9765221.60,4444636.58
Jan-19,15230676.77,10102414.93,4494469.00
Feb-19,15417931.79,10403755.60,4438737.70
Mar-19,15213025.02,10267671.09,4335877.50
Apr-19,15142962.97,10580033.01,4041612.88
May-19,15256893.41,10390298.81,4427355.22
Jun-19,15132859.03,10222923.47,4466230.10
Jul-19,15608818.31,10298315.51,4599362.46
Aug-19,15584936.82,10508466.88,4646028.80
Sep-19,16251045.59,10919159.56,4580799.95
Oct-19,16375018.50,11034241.63,4708419.25
Nov-19,16836260.10,11192008.82,4908148.81
Dec-19,17187765.71,11475232.44,4996403.46
Jan-20,17471395.72,11475521.34,4940147.37
Feb-20,17543878.53,11509432.78,5012826.72
Mar-20,18487228.58,12218562.19,5329796.55
Apr-20,18533973.21,12173103.80,5368702.40
May-20,18632176.69,12360633.10,5295638.72
Jun-20,18817903.42,12602904.81,5474137.54
Jul-20,19114842.62,12672080.41,5257041.31
Aug-20,19246130.72,12806083.59,5226794.01
Sep-20,19363426.04,12944161.29,5230913.79
Oct-20,19289688.25,12507285.95,5462828.11
Nov-20,19610846.09,12910984.86,5526576.19
Dec-20,20373488.28,13205355.40,5678829.36
Jan-21,20258951.64,13551967.70,5405100.85
Feb-21,21004014.32,13875015.66,5665208.14
Mar-21,21015091.70,14186313.75,5313977.02
Apr-21,22300200.59,15035446.51,4880944.49
May-21,21594294.42,15492301.38,4834743.98
Jun-21,21895310.29,15611505.19,4900783.07
Jul-21,22053390.62,16028383.27,4760506.04
Aug-21,22470080.16,15764344.80,5365004.02
Sep-21,22802103.97,16362616.24,5054462.02
Oct-21,23324098.96,16843399.53,5005709.16
Nov-21,24012048.87,16915732.17,5529383.20
Dec-21,24378193.42,17623423.33,4865177.73
Jan-22,24446196.81,17259062.00,5433670.45
Feb-22,25043385.80,17876461.28,5417117.80
Mar-22,25282360.50,17914189.16,5530688.56
Apr-22,25876717.54,18216396.18,5687058.29
May-22,26370053.31,18710938.59,5792629.11
Jun-22,26846403.40,18890724.99,6105058.70
Jul-22,27895983.46,19439866.70,6083322.15
Aug-22,28204274.52,19700833.90,6095300.13
Sep-22,28204274.52,19765785.75,6391316.70
Oct-22,28500034.66,19837912.00,6632863.01
Nov-22,29220270.12,20454197.39,6822730.87
Dec-22,29445871.39,20309295.52,6956141.61
Jan-23,29730113.48,20491443.01,7068829.14
Feb-23,29943602.15,20468749.50,7034280.04
Mar-23,30346134.66,20940836.93,7090434.67
Apr-23,30347309.82,21076855.96,7171877.07
May-23,30181807.62,21017856.75,7065510.51
Jun-23,37479368.00,24704594.88,10304306.48
Jul-23,38270578.23,24250147.41,11243652.12
Aug-23,38556822.62,24768172.86,11049076.59
Sep-23,39106006.63,25345252.61,10823676.95
Oct-23,42736234.63,25868983.12,13763334.19
Nov-23,41646943.44,27222176.64,11341844.17
Dec-23,44536126.23,27992265.72,12974635.70
Jan-24,57761231.00,31069980.94,22451700.96
Feb-24,61557756.40,35185733.95,21988098.65
Mar-24,53221135.11,33859945.23,15754268.63
Apr-24,54632767.20,30984768.74,20482336.92
May-24,56900015.68,31832487.84,21044516.64
Jun-24,55713802.76,33741363.16,18923946.66
Jul-24,57630978.15,35250924.10,21443814.58
Aug-24,57372474.29,36786115.53,19705908.47
Sep-24,58571998.05,37293742.03,20461374.41
