month,mpr,tbill,prime,inf
Jan-00,18.00,17.00,21.30,-2.49
Feb-00,18.00,17.00,21.20,-1.73
Mar-00,18.00,17.00,21.90,-1.43
Apr-00,18.00,16.00,21.50,-0.05
May-00,17.00,16.00,20.80,2.17
Jun-00,17.00,16.00,20.80,5.87
Jul-00,17.00,16.00,20.99,6.67
Aug-00,16.00,15.00,21.50,13.10
Sep-00,16.00,15.00,21.30,15.51
Oct-00,16.00,15.00,21.25,17.08
Nov-00,15.00,13.00,21.40,15.38
Dec-00,14.00,13.00,21.33,14.53
Jan-01,15.50,14.50,21.30,17.64
Feb-01,15.50,14.50,21.40,18.59
Mar-01,16.50,14.50,21.70,18.20
Apr-01,16.50,17.00,22.20,23.23
May-01,16.50,17.00,22.60,22.96
Jun-01,16.50,17.00,23.50,16.06
Jul-01,18.50,18.00,23.60,19.00
Aug-01,18.50,18.00,23.70,18.71
Sep-01,20.50,19.00,23.90,19.12
Oct-01,20.50,20.00,25.09,19.33
Nov-01,20.50,20.00,24.66,17.43
Dec-01,20.50,20.50,25.98,16.49
Jan-02,20.50,21.13,25.83,18.55
Feb-02,20.50,22.50,25.20,17.99
Mar-02,20.50,24.50,24.49,17.38
Apr-02,20.50,22.50,25.40,12.76
May-02,20.50,21.90,25.30,10.18
Jun-02,20.50,20.75,25.26,12.22
Jul-02,18.50,19.82,26.38,15.57
Aug-02,18.50,17.05,26.21,12.28
Sep-02,18.50,16.49,26.20,9.97
Oct-02,18.50,16.19,25.11,5.37
Nov-02,18.50,14.88,22.10,12.15
Dec-02,16.50,13.81,20.60,12.17
Jan-03,16.50,14.54,21.90,10.59
Feb-03,16.50,14.55,21.60,7.27
Mar-03,16.50,15.19,21.16,5.86
Apr-03,16.50,15.49,21.10,8.27
May-03,16.50,15.47,21.10,8.67
Jun-03,16.50,15.88,21.10,13.99
Jul-03,16.50,16.00,20.94,12.92
Aug-03,15.00,13.49,20.27,12.44
Sep-03,15.00,14.50,20.04,18.37
Oct-03,15.00,13.46,20.00,23.60
Nov-03,15.00,14.30,19.63,21.29
Dec-03,15.00,14.50,19.58,23.81
Jan-04,15.00,14.25,19.49,22.39
Feb-04,15.00,14.16,19.57,24.85
Mar-04,15.00,13.99,19.47,22.46
Apr-04,15.00,14.25,19.46,17.54
May-04,15.00,14.25,19.40,19.78
Jun-04,15.00,14.25,19.21,14.10
Jul-04,15.00,14.25,19.35,10.68
Aug-04,15.00,14.25,18.81,13.01
Sep-04,15.00,14.25,19.00,9.13
Oct-04,15.00,15.13,18.93,10.73
Nov-04,15.00,14.55,18.89,10.05
Dec-04,15.00,14.35,18.91,10.01
Jan-05,15.00,15.48,18.86,9.84
Feb-05,13.00,12.65,18.43,10.94
Mar-05,13.00,12.50,18.20,16.27
Apr-05,13.00,7.99,18.19,17.93
May-05,13.00,8.75,18.10,16.82
Jun-05,13.00,5.03,17.80,18.57
Jul-05,13.00,5.14,17.78,26.12
Aug-05,13.00,3.00,17.53,28.21
Sep-05,13.00,2.15,17.60,24.32
Oct-05,13.00,2.45,17.54,18.60
Nov-05,13.00,7.96,17.57,15.12
Dec-05,13.00,10.83,17.78,11.57
Jan-06,13.00,13.68,16.69,10.71
Feb-06,13.00,11.49,16.57,10.84
Mar-06,13.00,9.86,16.30,12.04
Apr-06,13.00,8.60,16.25,12.56
May-06,13.00,6.65,16.97,10.55
Jun-06,14.00,8.41,17.08,8.49
Jul-06,14.00,9.79,17.08,3.00
Aug-06,14.00,8.40,16.81,3.75
Sep-06,14.00,6.98,17.19,6.25
Oct-06,14.00,7.94,17.19,6.13
Nov-06,14.00,7.00,17.26,7.76
Dec-06,10.00,7.75,17.33,8.55
Jan-07,10.00,7.10,17.64,7.97
Feb-07,10.00,6.90,17.63,7.08
Mar-07,10.00,6.85,17.18,5.25
Apr-07,10.00,7.23,18.05,4.22
May-07,10.00,7.20,16.94,4.64
Jun-07,8.00,6.59,16.92,6.43
Jul-07,8.00,5.98,16.57,4.83
Aug-07,8.00,6.24,16.42,4.21
Sep-07,8.00,7.10,16.46,4.12
Oct-07,9.00,6.23,16.50,4.55
Nov-07,9.00,6.67,16.50,5.16
Dec-07,9.50,7.75,16.46,6.56
Jan-08,9.50,8.58,15.52,8.57
Feb-08,9.50,8.63,15.58,8.03
Mar-08,9.50,8.50,15.23,7.78
Apr-08,10.00,8.17,15.39,8.17
May-08,10.00,8.27,15.02,9.70
Jun-08,10.25,8.64,15.17,12.05
Jul-08,10.25,9.21,15.22,13.95
Aug-08,10.25,9.13,15.08,12.36
Sep-08,9.75,9.08,14.77,13.02
Oct-08,9.75,7.72,14.81,14.74
Nov-08,9.75,6.90,14.58,14.83
